Infracciones
Abuso de Autoridad y Falsedad
Abuso de Confianza
Abuso Físico
Abuso Infantil
Abuso Psicológico
Abuso Psicológico contra menor
Abuso Sexual
Abuso Sexual contra menor
Acoso Sexual
Agresión  Sexual contra menor
Agresión Física
Agresión Sexual
Amenaza
Asociación de Malhechores
Chantaje
Conducción Temeraria
Contrabando
Corrupción Administrativa
Crímenes y  Delitos de Alta Tecnología
Delito contra la propiedad industrial
Delito contra la propiedad privada
Delito Sexual
Violación a la Ley de Armas
Delitos Tributarios
Difamación e Injuria
Estafa
Explotación Sexual
Extorsión
Falcificación
Falsificación
Golpes y Heridas
Golpes y Heridas contra menor
Homicidio
Incendio
Incesto
Incumplimiento de pensión alimentaria
Indeterminado
Injuria
Lavado de activos
Maltrato Infantil
Narcotráfico
Otros
Parricidio
Perjuicio
Perjurio contra menor
Porte ilegal de armas
Robo
Secuestro
Seducción
Seducción contra menor
Soborno
Sustracción de menor
Tentativa de Homicidio
Tentativa de Robo
Tortura o actos de barbarie
Tortura y Actos de Barbarie
Trabajo Pagado y no Realizado
Trabajo Realizado y no Pagado
Trata de persona
Violación a la Ley Cheques
Violación a la Ley de Electricidad
Violación a la Ley de Tránsito
Violación a Ley General de Salud
Violación al Código de Trabajo
Violación Sexual
Violacion sexual contra menor
Violación sexual contra menor
Violencia
Violencia de Género
Violencia Intrafamiliar
Violencia Psicológica
Violencia Verbal
Violengia de Género
Vulneración de derechos de menor
