Centros Penitenciarios
Penitenciaría Nacional de La Victoria (Santo Domingo Norte)
Cárcel de Najayo Hombres (San Cristóbal)
Cárcel de Najayo Mujeres (San Cristóbal)
Cárcel de Rafey (Santiago)
Cárcel Pública de Santiago Rodríguez
Cárcel Pública de Dajabón
Cárcel Pública de Montecristi
Cárcel Pública de Mao (Valverde)
Cárcel Pública de Puerto Plata
Cárcel Pública de Espaillat (Moca)
Cárcel Pública de La Vega
Cárcel Pública de Bonao (Monseñor Nouel)
Cárcel Pública de Cotuí (Sánchez Ramírez)
Cárcel Pública de San Francisco de Macorís (Duarte)
Cárcel Pública de Nagua (María Trinidad Sánchez)
Cárcel Pública de Samaná
Cárcel Pública de El Seibo
Cárcel Pública de Hato Mayor
Cárcel Pública de La Romana
Cárcel Pública de San Pedro de Macorís (Fortaleza Pedro Santana)
Cárcel Pública de Higüey (La Altagracia)
Cárcel Pública de Monte Plata
Cárcel Pública de Azua
Cárcel Pública de San Juan de la Maguana
Cárcel Pública de Elías Piña (Comendador)
Cárcel Pública de Barahona
Cárcel Pública de Neiba (Bahoruco)
Cárcel Pública de Jimaní (Independencia)
Cárcel Pública de Pedernales
Cárcel de Baní (Peravia)
CCR Najayo (Hombres)
CCR Najayo Mujeres
CCR Rafey Hombres
CCR Rafey Mujeres
CCR Vista al Valle (San Francisco de Macorís)
CCR Cucama (La Romana)
CCR Anamuya (Higüey)
CCR El Pinito (La Vega)
CCR San Felipe (Puerto Plata)
CCR Mao (Valverde)
CCR Monte Plata
CCR Baní Mujeres
CCR Pedro Corto (San Juan)
CCR Azua
CCR Barahona
CCR El Seibo
CCR Hato Mayor
CCR Montecristi
CCR Dajabón
CCR Cotuí
CCR Bonao
CCR Las Parras (nuevo centro en sustitución de La Victoria)
Centros de Atención a Privados de Libertad Provisional (CAPLIP)
Centros femeninos y mixtos
